Track Id,Song Name,Artist Name,Artist Familiarity,Artist Hottness,Loudness,Tempo
TRBBLOQ128F930C9DE,Isle of St. Helena,Mary Black & General Humbert,0.597113361,0.376556981,-10.273,99.237
TRBBLGX128F92D46B8,Sarankégni,Djelimady Tounkara,0.315307851,0.229738498,-9.777,145.93
TRBBLUS128F4276631,C'Etait Bien,Jean Corti,0.453912533,0,-11.765,163.567
TRBBLNS12903CE5265,Eurydice! ombre chère!,Juan Diego Flórez / Orquesta Sinfónica de Madrid / Jesús López-Cobos,0.429603017,0.370441155,-21.523,36.624
TRBBLNE128F4256D3F,Subliminal ohne Naturgeraeusche,Kurt Tepperwein,0.311752508,0.252080527,-22.016,113.487
TRBBLFA12903CDC496,I'll Be Yours,Faron Young,0.590473194,0.418989675,-13.601,74.894
TRBBLTV12903CC3C00,Marcel,Pierre Perret,0.510301323,0.352976472,-10.416,111.682
TRBBLXX128F92C3D8C,Turandot (2008 Digital Remaster)_ Act III - Scene I: Nessum dorma!,Maria Callas/Eugenio Fernandi/Elisabeth Schwarzkopf/Giuseppe Nessi/Nicola Zaccaria/Mario Borriello/Renato Ercolani/Piero de Palma/Giulio Mauri/Elisabetta Fusco/Pinuccia Perotti/Coro del Teatro alla Scala_ Milano/Orchestra del Teatro alla Scala_ Milano/Tul,0.612858654,0.360344686,-13.963,109.721
TRBBLTE128F42558EF,Safety Net (Album Version),Moros Eros,0.605538219,0.307540085,-5.879,90.291
TRBBLYZ128F4269606,Whip Fight,Harry Gregson-Williams,0.622874939,0.461245798,-14.798,145.971
TRBBLBI128F92EEF0F,Another Last Shot (Album Version),Vivian,0.520726488,0.359260264,-5.08,145.021
TRBBLDK128F93443C0,Hunted,Scott Glasgow,0.447808057,0.29191313,-26.765,16.258
TRBBLUO12903CEDBD2,A Talk With Dad,Speech,0.596275994,0.341959997,-22.033,73.11
TRBBLCU128F423C5DA,Prayer For The Dying (Live In Paris),Seal,0.567313224,0.580013183,-6.373,133.193
TRBBLAN128F93183E6,Hello Hello,Abrar - Ul - Haq,0.442200548,0.413665501,-11.362,89.077
TRBBBLA128F424E963,Exodus,Sunscreem,0.546727554,0.386180416,-8.955,130.201
TRBBBVC128F429AB66,Mother_ Mother_ Mother_ Pin A Rose On Me,Kitty Kallen,0.458954416,0.322125889,-14.281,121.56
TRBBBOA128F42624DA,Sickness,Agnostic Front,0.701441759,0.504307726,-3.565,151.184
TRBBBMT128F42A0A4E,True Fuschnick,FU-Schnickens,0.512687131,0.370628892,-9.093,101.871
TRBBBFO128F931535D,My Plastic Heart (Plastic Operator Remix),Frost,0.622079647,0.468032528,-12.624,126.946
TRBBBKS12903CDFCF4,Sea of Green,Slackbaba,0.509952451,0.363132404,-7.016,88.644
TRBBBEA128F93391BA,Sleepy Lad,Maximilian Hecker,0.621121051,0.43568407,-14.689,77.006
TRBBBUG128F148D65B,Inertiatic Esp,The Mars Volta,0.867258942,0.547764111,-3.952,112.486
TRBBIPG128F92FA94D,La Otra,Marisela,0.570609658,0.389877126,-9.467,134.192
TRBBIJM12903C9AB35,Blue [Da Ba Dee] [Gabry Ponte vs. HiFi Blueprint Remix],Eiffel 65,0.722559297,0.466509803,-5.286,130.039
TRBBILK128F14A2FD6,The Coloness Of The Chain,Tony Joe White,0.624723768,0.403509673,-17.816,139.905
TRBBISD12903CF8B3E,Feeling,Jaco & Mixxmaster,0.350755308,0.19742668,-5.639,136.981
TRBBIBE128F4226E29,Kill Your Darlings,Soulwax,0.803087355,0.501825944,-8.146,111.223
TRBBIGE128F1491C45,The Trial_ Were You Scared? [The Lost Interview Tapes - Volume Two] (LP Version),The Doors,0.876829878,0.584116573,-27.685,66.155
TRBBIYI128F92E13CC,Gotta Cut Out,Jimmy McCracklin,0.42429413,0.327239606,-8.441,101.241
TRBBIYX128F1497FF2,"Rinaldo : Act 1 ""Cor ingrato_ ti rammembri"" [Rinaldo]",Marilyn Horne,0.445858671,0.312044456,-23.593,47.97
TRBBIHP128F92E40CA,Be my Lover,Hysterie,0.383294226,0.328280409,-7.224,131.986
TRBBICL128F42ADFD3,Here I Am,Phantom Planet,0.764003369,0.542395093,-9.628,105.902
TRBBILZ12903CB422C,This Very Moment,Set Your Goals,0.823910087,0.549749652,-6.754,131.639
TRBBSXW12903CEB61D,Natural Light (Subliminal Self-Help),Steven Halpern,0.525475742,0.372393097,-31.346,134.538
TRBBSFL128F931798C,(Prayer Is The Key To Heaven) Faith Unlocks The Door,Don Gibson,0.540750151,0.379651219,-15.854,81.832
TRBBSBF128F14687A4,Sound Clash (featuring Beenie Man) - FattaSly Extended Mix,Dream Warriors,0.502389764,0.342652377,-8.164,106.821
TRBBSGI128F9309855,America's Suitehearts,Fall Out Boy,0.93796475,0.566622888,-4.469,160.109
TRBBSZN128F930E4E7,The One Who Lives Inside Your Heart,Lari White,0.477467037,0.341981736,-13.805,137.002
TRBBSKC128F1496C4E,Finisterre (Live),Mau Mau,0.439907658,0.311559176,-13.297,107.983
TRBBSSU128F4265E16,Tsai Me Lemoni (2005 Digital Remaster),Dakis,0.336970428,0,-5.554,109.08
TRBBKIH128F9343FD4,Flight of the Elephant,Workhorse,0.47902341,0.317303966,-8.816,60.15
TRBBKLD128F424ABF5,No Quarter,Crowbar,0.693883853,0.491099453,-8.6,189.288
TRBBKTZ128F1456D67,How We Get Down,Bad Azz,0.552053803,0.341376268,-5.204,102.922
TRBBKAJ128F92D6072,La Nativité Du Seigneur (1935) - 9 Méditations : I La Vierge Et L'enfant,Olivier Messiaen,0.590804514,0.419100413,-26.309,85.599
TRBBKMZ128F93539F4,Storm,The Pharcyde,0.756063871,0.491468882,-4.163,97.594
TRBBKAI128F4251AEF,Animal Crimes,Mad Are Sane_ The,0.389837556,0.338400248,-8.999,196.196
TRBBKUZ128F92C9D49,Canal de jonage,Michèle Bernard,0.448892805,0.398442224,-12.166,234.361
TRBBKXZ128F4215C88,Ramène Moi,Lara Fabian,0.631702562,0.458210742,-7.387,109.965
TRBBKTG128E0785461,Freedom (LP Version),Wayne Watson,0.545159296,0.351555861,-10.366,114.528
TRBBWKF128F934E709,Gateway,Dean Evenson,0.510259829,0.363050247,-19.454,98.442
TRBBWIP128F4287400,Pode Me Chamar,Eddie,0.622684167,0.373749549,-11.996,160.089
TRBBWNS128F426F760,Comin' Home,ZO2,0.595660905,0.345241137,-5.802,88.344
TRBBWDJ128F42595D5,October,U2,0.843526543,0.825639111,-14.05,94.838
TRBBWSE128F9313963,One About Heaven,Brent Lamb,0.048852903,0,-6.177,142.978
TRBBWCP128F935F6DB,Go And Wash (Those Dirty Feet),Johnny Horton,0.610427725,0.438168226,-16.059,104.284
TRBBWKS128F424E84A,Souffle 2,Vincent Bruley,0.284220404,0.305849744,-16.676,134.028
TRBBMAL128F146B288,Atrapados En La Red,Tam Tam Go!,0.515044056,0.316692162,-4.811,130.402
TRBBMQN128EF35F995,Through With You,Maroon 5,0.905477001,0.843380274,-5.622,145.999
TRBBMDA12903CB688E,V,Zeromancer,0.644519692,0.405618982,-6.707,120.072
TRBBMLR128F1466822,On Tomorrow,Captain Beefheart & The Magic Band,0.568171929,0.387496801,-15.794,186.23
